Name,Category,Type,LGA,Tentative_Population,Priority_Tier,Latitude,Longitude,Navigation_Link
Unmapped Cluster (Ajaokuta - 7.6345),Settlement,hamlet,Ajaokuta,Low (<1k),2,7.634531203500559,6.632923945481937,"https://www.google.com/maps/search/?api=1&query=7.634531203500559,6.632923945481937"
Unmapped Cluster (Ajaokuta - 7.6136),Settlement,hamlet,Ajaokuta,Low (<1k),2,7.61365387802912,6.646443565243814,"https://www.google.com/maps/search/?api=1&query=7.61365387802912,6.646443565243814"
Unmapped Cluster (Ajaokuta - 7.6400),Settlement,hamlet,Ajaokuta,Low (<1k),2,7.640039349999999,6.634097,"https://www.google.com/maps/search/?api=1&query=7.640039349999999,6.634097"
Unmapped Cluster (Ajaokuta - 7.6085),Settlement,hamlet,Ajaokuta,Low (<1k),2,7.608541424655262,6.58078284487824,"https://www.google.com/maps/search/?api=1&query=7.608541424655262,6.58078284487824"
Unmapped Cluster (Ajaokuta - 7.6552),Settlement,hamlet,Ajaokuta,Low (<1k),2,7.655259968533139,6.701538928592346,"https://www.google.com/maps/search/?api=1&query=7.655259968533139,6.701538928592346"
Unmapped Cluster (Ajaokuta - 7.3585),Settlement,hamlet,Ajaokuta,Low (<1k),2,7.358565644268011,6.5081821898234296,"https://www.google.com/maps/search/?api=1&query=7.358565644268011,6.5081821898234296"
Unmapped Cluster (Ajaokuta - 7.7344),Settlement,hamlet,Ajaokuta,Low (<1k),2,7.734480719039351,6.711887136475397,"https://www.google.com/maps/search/?api=1&query=7.734480719039351,6.711887136475397"
Unmapped Cluster (Ajaokuta - 7.7362),Settlement,village,Ajaokuta,Medium (2k-10k),2,7.736297755554937,6.712252614931793,"https://www.google.com/maps/search/?api=1&query=7.736297755554937,6.712252614931793"
Unmapped Cluster (Ajaokuta - 7.4318),Settlement,hamlet,Ajaokuta,Low (<1k),2,7.43188696787615,6.597025887381721,"https://www.google.com/maps/search/?api=1&query=7.43188696787615,6.597025887381721"
Unmapped Cluster (Ajaokuta - 7.4372),Settlement,hamlet,Ajaokuta,Low (<1k),2,7.43720627415652,6.610927076563466,"https://www.google.com/maps/search/?api=1&query=7.43720627415652,6.610927076563466"
Unmapped Cluster (Ajaokuta - 7.4346),Settlement,hamlet,Ajaokuta,Low (<1k),2,7.4346840886866525,6.610349820622908,"https://www.google.com/maps/search/?api=1&query=7.4346840886866525,6.610349820622908"
Unmapped Cluster (Ajaokuta - 7.6627),Settlement,hamlet,Ajaokuta,Low (<1k),2,7.662755185994341,6.670337832319585,"https://www.google.com/maps/search/?api=1&query=7.662755185994341,6.670337832319585"
